ID,Date,Sentiment
832,2014-09-03,2
833,2014-09-03,2
834,2014-09-03,2
835,2014-09-02,1
836,2014-09-02,2
837,2014-09-02,1
838,2014-09-02,2
839,2014-09-01,2
840,2014-08-28,3
841,2014-08-28,2
842,2014-08-28,2
843,2014-08-27,2
844,2014-08-26,2
845,2014-08-25,2
846,2014-08-25,2
847,2014-08-24,2
848,2014-08-23,2
849,2014-08-22,2
850,2014-08-21,2
851,2014-08-21,2
852,2014-08-20,2
853,2014-08-18,2
854,2014-08-18,2
855,2014-08-17,2
856,2014-08-16,2
857,2014-08-15,2
858,2014-08-13,2
859,2014-08-13,2
860,2014-08-13,2
861,2014-08-12,2
862,2014-08-12,2
863,2014-08-11,2
864,2014-08-10,2
865,2014-08-10,2
866,2014-08-09,2
867,2014-08-04,2
868,2014-08-03,2
869,2014-08-03,2
870,2014-08-03,2
871,2014-08-01,2
872,2014-08-01,2
873,2014-08-01,1
874,2014-07-30,2
875,2014-07-29,2
876,2014-07-29,3
877,2014-07-29,1
878,2014-07-27,2
879,2014-07-27,2
880,2014-07-25,2
881,2014-07-23,2
882,2014-07-22,2
883,2014-07-22,2
884,2014-07-22,2
885,2014-07-21,2
886,2014-07-21,2
887,2014-07-20,1
888,2014-07-20,2
889,2014-07-19,2
890,2014-07-18,2
891,2014-07-18,2
892,2014-07-18,2
893,2014-07-17,3
894,2014-07-17,2
895,2014-07-16,2
896,2014-07-15,2
897,2014-07-14,2
898,2014-07-13,2
899,2014-07-12,2
900,2014-07-11,2
901,2014-07-10,2
902,2014-07-10,2
903,2014-07-10,2
904,2014-07-10,2
905,2014-07-09,2
906,2014-07-09,2
907,2014-07-07,2
908,2014-07-07,2
909,2014-07-07,2
910,2014-07-07,2
911,2014-07-06,2
912,2014-07-05,2
913,2014-07-04,2
914,2014-07-03,2
915,2014-07-03,2
916,2014-07-03,2
917,2014-07-01,2
918,2014-07-01,2
919,2014-07-01,2
920,2014-07-01,2
921,2014-06-30,2
922,2014-06-28,2
923,2014-06-28,2
924,2014-06-27,2
925,2014-06-27,3
926,2014-06-22,2
927,2014-06-21,2
928,2014-06-18,2
929,2014-06-18,2
930,2014-06-17,2
931,2014-06-14,2
932,2014-06-14,2
933,2014-06-13,2
934,2014-06-13,2
935,2014-06-12,2
936,2014-06-12,2
937,2014-06-11,2
938,2014-06-10,2
939,2014-06-09,2
940,2014-06-07,1
941,2014-06-07,2
942,2014-06-05,2
943,2014-06-04,2
944,2014-06-04,2
945,2014-06-03,2
946,2014-06-02,1
947,2014-06-01,2
948,2014-05-30,2
949,2014-05-28,2
950,2014-05-28,2
951,2014-05-27,2
952,2014-05-27,2
953,2014-05-27,2
954,2014-05-26,2
955,2014-05-24,2
956,2014-05-24,2
957,2014-05-22,2
958,2014-05-22,2
959,2014-05-21,2
960,2014-05-21,3
961,2014-05-20,2
962,2014-05-20,2
963,2014-05-19,3
964,2014-05-19,2
965,2014-05-18,2
966,2014-05-18,2
967,2014-05-18,1
968,2014-05-18,2
969,2014-05-17,2
970,2014-05-17,2
971,2014-05-17,2
972,2014-05-17,2
973,2014-05-16,2
974,2014-05-16,2
975,2014-05-16,2
976,2014-05-16,1
977,2014-05-15,2
978,2014-05-15,2
979,2014-05-13,2
980,2014-05-12,2
981,2014-05-12,2
982,2014-05-10,2
983,2014-05-07,2
984,2014-05-07,2
985,2014-05-07,2
986,2014-05-07,2
987,2014-05-07,2
988,2014-05-07,1
989,2014-05-07,2
990,2014-05-05,2
991,2014-05-05,2
992,2014-05-02,2
993,2014-05-02,1
994,2014-05-01,2
995,2014-04-30,2
996,2014-04-30,2
997,2014-04-30,2
998,2014-04-29,2
999,2014-04-28,2
1000,2014-04-28,2
1001,2014-04-28,2
1002,2014-04-28,2
1003,2014-04-28,2
1004,2014-04-27,3
1005,2014-04-25,2
1006,2014-04-24,2
1007,2014-04-23,2
1008,2014-04-22,2
1009,2014-04-22,2
1010,2014-04-22,1
1011,2014-04-22,2
1012,2014-04-20,2
1013,2014-04-18,2
